"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This is test of searching tour","9514","Search tours test","tests","2026-04-26","passed","2026-04-26","TestTourSearch","test_search_tour","",""
"Test Chrome browser compatibility","17674","NFR5 - Compatibility: Cross Browser Support Test","tests","2026-04-26","passed","2026-04-26","TestNFR","test_nfr","",""
"This is test of searching flight","8971","Search flight test","tests","2026-04-26","passed","2026-04-26","TestFlightSearch","test_search_flight","",""
"This is test of searching one way flight","9760","Search flight test: one way","tests","2026-04-26","passed","2026-04-26","TestTourSearch","test_search_tour","",""
"This is test of searching one way flight","10075","Search flight test: one way","tests","2026-04-26","passed","2026-04-26","TestTourSearch","test_search_tour","",""
"This is test of searching one way flight","8456","Search flight test: one way","tests","2026-04-26","passed","2026-04-26","TestFlightSearch","test_search_flight","",""
"Test that interface is clean, responsive, and navigable","26122","NFR1 - Usability: Intuitive Interface Test","tests","2026-04-26","passed","2026-04-26","TestNFR","test_nfr","",""
"This is test of login with valid data","48416","Login with valid data test","tests","2026-04-26","passed","2026-04-26","TestLogIn","test_log_in","",""
"This is test of searching transfer","6112","Search transfer test","tests","2026-04-26","passed","2026-04-26","TestTransferSearch","test_search_transfer","",""
"This is test of searching round trip flight","9266","Search flight test: round trip","tests","2026-04-26","passed","2026-04-26","TestFlightSearch","test_search_flight","",""
"This is test of searching transfer","6644","Search transfer test","tests","2026-04-26","passed","2026-04-26","TestTransferSearch","test_search_transfer","",""
"This is test of searching round trip flight","7696","Search flight test: round trip","tests","2026-04-26","passed","2026-04-26","TestFlightSearch","test_search_flight","",""
"This is data driven test of searching hotels","32593","Search hotel test 2","tests","2026-04-26","passed","2026-04-26","TestHotelSearch","test_search_hotel","",""
"This is test of searching transfers","7799","Search transfers test","tests","2026-04-26","passed","2026-04-26","TestTransferSearch","test_search_transfer","",""
"This is data driven test of searching hotels","28542","Search hotel test 2","tests","2026-04-26","passed","2026-04-26","TestHotelSearch","test_search_hotel","",""
"Test HTTPS authentication and secure password handling","20135","NFR4 - Security: Secure Authentication Test","tests","2026-04-26","passed","2026-04-26","TestNFR","test_nfr","",""
"Test system availability with HTTP 200 and <5s response","5473","NFR3 - Reliability: System Availability Test","tests","2026-04-26","passed","2026-04-26","TestNFR","test_nfr","",""
"This is test of searching one way flight","6638","Search flight test: one way","tests","2026-04-26","passed","2026-04-26","TestFlightSearch","test_search_flight","",""
"This is test of login with invalid email","45436","Login with invalid email test","tests","2026-04-26","passed","2026-04-26","TestLogIn","test_log_in","",""
"Test that pages load within 5 seconds","21714","NFR2 - Performance: Response Time Test","tests","2026-04-26","passed","2026-04-26","TestNFR","test_nfr","",""
"This is test of searching hotel in Warsaw","29169","Search hotel test","tests","2026-04-26","passed","2026-04-26","TestHotelSearch","test_search_hotel","",""
